Date,Start,End ,Sector,Plant_Num,Latitude,Longitude,Elevation,GPS_Accuracy,Flower,Num_Pads,Baby_Pads,Needle_Length,Wrinkled,Green,Yellow,Orange,Red,DarkGreen,Brown/Gray,Pads_Num,Sun_and_Shade,Cactus_Bug,Cochineal_Scale,Spider_Mites,Cactus_Moth,Root_Rot,Dry_Rot,Rust_Fungus,Anthracnose_Fungus,Other/Turtle/Unknown,Description,,,
6/18/26,14:50,15:20,1,1,41.20845,-101.64758,994,3,0,9,0,3.5,2,7,1,0,0,1,0,9,1,0,0,1,0,0,0,0,0,0,,,,
6/18/26,14:50,15:20,1,2,41.20849,-101.64757,993,4,0,6,0,4,2,4,1,2,0,0,0,6,1,1,1,0,0,0,0,0,0,0,,,,
6/18/26,15:22,15:40,2,1,41.20839,-101.64747,986,3,0,2,0,2.5,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,,,
6/18/26,15:22,15:40,2,2,41.2084,-101.64745,986,3,0,4,0,4.5,1,2,0,0,0,2,0,4,1,0,1,0,0,2,0,0,0,0,,,,
6/18/26,15:22,15:40,2,3,41.2084,-101.64748,987,3,0,7,0,4,3,6,1,0,0,0,0,7,1,0,4,0,0,0,0,0,0,0,,,,
6/18/26,15:45,16:08,3,1,41.2083,-101.64754,994,4,1,18,0,4,7,12,2,0,0,5,0,18,1,4,4,0,3,5,2,0,0,0,"1 adult CB, and 1 CM worm larvae are present",,,
6/18/26,16:10,16:45,4,1,41.20792,-101.64754,996,4,0,3,0,1,2,1,0,0,0,2,0,3,2,1,0,0,0,2,0,0,0,0,,,,
6/18/26,16:10,16:45,4,2,41.2079,-101.64755,996,4,0,6,0,1.5,2,4,2,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,,,,
6/18/26,16:10,16:45,4,3,41.20792,-101.64759,997,4,0,3,0,2,0,2,0,0,0,0,1,3,2,0,1,0,0,0,0,0,1,0,1 dead pad,,,
6/18/26,16:10,16:45,4,4,41.2079,-101.64756,999,3,0,6,0,2.5,0,4,0,0,0,0,2,6,2,0,1,0,0,0,0,0,0,0,2 dead pads,,,
6/18/26,16:47,17:25,5,1,41.20758,-101.64754,1000,3,0,3,1,3,2,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,SEVERE Rotting 1,,,
6/18/26,16:47,17:25,5,2,41.20758,-101.64755,1000,3,0,2,2,2,0,1,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0,1 dead pad,,,
6/18/26,16:47,17:25,5,3,41.20758,-101.64753,1000,3,0,3,3,3,2,1,1,0,0,1,0,3,0,0,2,1,0,1,0,1,1,0,"1 old Turtle Bite, SEVERE Rotting 1",,,
6/18/26,16:47,17:25,5,4,41.20758,-101.64752,1001,3,0,8,3,4,5,0,2,0,1,2,0,5,0,3,0,0,3,3,2,1,1,0,SEVERE Rotting 3,,,
6/19/26,16:47,17:25,5,5,41.20758,-101.64753,1001,3,0,16,3,3.5,6,4,3,0,2,3,1,13,0,5,1,3,5,5,1,0,1,0,many CB nymphs. SEVERE Rotting 4,,,
6/19/26,16:47,17:25,5,6,41.20754,-101.64758,1001,3,0,10,1,4.5,5,6,0,1,0,1,2,9,0,0,0,0,4,2,1,3,0,0,,,,
